x,y,z,vx,vy,vz,E_tot,Lz,phase_chi,ParticleIDs,halo,level,PeakMassIndex_ID,AccretedFlag,BoundFirstTime
-8.133808,14.99206,9.849279,363.5997,229.38333,-23.048964,-112961.78566827392,-7316.86848300264,-529.71305944,8796178047207,26,4,4664,0.0,4.250308
27.385643,22.668001,-2.8328803,292.95532,-8.968269,-158.96263,-113408.76644916218,-6886.313299877286,-611.8855916000001,8796166624759,26,4,4664,0.0,6.3559184
-13.567988,14.298992,15.887083,327.38196,206.34903,42.56236,-113092.55779792396,-7480.97318983596,-579.0963884700001,8796192668041,26,4,4664,0.0,4.250308
5.9901013,19.184963,14.7928295,372.48492,111.89406,-38.405144,-113162.47431182464,-6475.852653989681,-570.5157611,8796181525733,26,4,4664,0.0,6.495249
-7.374265,16.926834,9.511848,384.69943,174.61069,-15.998981,-112941.68405118032,-7799.368891397469,-547.60718516,8796189713560,26,4,4664,0.0,6.3559184
-3.2365372,17.956154,15.556349,342.0163,202.33456,-3.9186993,-113235.7500798563,-6796.160683595833,-566.9854440500001,8796156973035,26,4,4664,0.0,6.495249
-5.825061,14.525697,15.091022,343.53638,226.1945,29.561419,-113056.513146476,-6307.70212472136,-540.05550935,8796178112489,26,4,4664,0.0,4.4169116
25.090801,25.608816,5.4264054,310.56693,43.638157,-109.25444,-112988.0402921524,-6858.335052761124,-601.8997013,8796186372464,26,4,4664,0.0,6.495249
3.7005336,18.480602,12.841547,379.30878,131.61928,-62.97321,-112981.95468474456,-6522.793030237753,-574.2189526739999,8796176396461,26,4,4664,0.0,4.581578
-60.365337,-53.646618,-23.27507,0.45833626,130.11208,94.03517,-113584.17568450874,-7829.671366715191,-262.98474845199996,8796102054972,26,4,4664,0.0,2.7889159
-54.960155,-60.992977,-20.86976,-8.467072,131.99202,87.90449,-113423.84199295317,-7770.733805716444,-247.28050020000006,8796175449659,26,4,4664,0.0,2.6665733
-60.329967,-55.959213,-19.332678,13.704776,132.67236,88.1911,-113608.34694380513,-7237.210621310833,-237.31634369000005,8796191721953,26,4,4664,0.0,3.270424
-56.076973,-59.137386,-17.941792,-8.79535,137.56664,88.05617,-113528.9611512095,-8234.454764935821,-272.74812816200006,8796175602771,26,4,4664,0.0,2.294945
-54.241096,-58.815067,-26.65807,-13.859203,127.0063,95.65298,-113237.64483481718,-7704.090863916401,-250.69241531000003,8796182187470,26,4,4664,0.0,2.294945
0.17840564,20.048529,11.540545,360.2269,175.45898,-64.06743,-112866.85563347234,-7190.716579609452,-573.5284276,8796122218852,26,4,4664,0.0,6.8125005
-18.135475,7.3856797,13.419843,292.97873,273.46634,-39.834534,-112174.39727779718,-7123.289031104281,-546.7257181000001,8796141179175,26,4,4664,0.0,6.8125005
-22.203062,12.437733,15.075386,292.0752,222.0232,10.488354,-112705.60531854536,-8562.34822856,-586.1822756000001,8796178695294,26,4,4664,0.0,4.4169116
-10.902192,13.217897,16.297447,337.243,203.05296,69.71006,-112857.4609605174,-6671.36559405932,-559.15624237,8796191507026,26,4,4664,0.0,4.250308
-16.227251,11.033838,15.48028,320.54224,199.87958,106.24871,-112730.91874907094,-6780.307262751699,-581.5657649999999,8796126377245,26,4,4664,0.0,6.8125005
-29.526886,-1.305267,9.018271,233.97482,262.57812,89.9229,-112491.6432794116,-7447.714603957381,-523.2756675,8796141594771,26,4,4664,0.0,4.0817823
-14.052567,15.844863,15.845559,342.2277,154.76726,77.654205,-112785.18051531016,-7597.42831186152,-590.66440857,8796179314920,26,4,4664,0.0,4.4169116
-18.424644,8.26913,11.859479,320.048,217.79688,119.156715,-112392.9270143372,-6659.34849655072,-528.81775958,8796150786105,26,4,4664,0.0,6.8125005
-18.572248,7.6193337,13.8946705,274.82806,287.94873,23.142525,-111992.69493232395,-7441.861924108662,-539.56185466,8796183160987,26,4,4664,0.0,6.495249
-54.051197,-63.99069,-25.043587,-13.653286,117.00601,95.715096,-112872.02090149643,-7197.998088601311,-247.72496929311,8796183498529,26,4,4664,0.0,2.294945
-61.109028,-59.983273,-19.468557,10.596528,125.64627,84.58547,-113168.84334715572,-7042.506999649417,-286.00537935,8796119109353,26,4,4664,0.0,3.4476855
-19.804333,-76.16059,-40.016754,-124.362595,-57.63714,-8.803066,-113760.439543243,-8330.06349540343,-29.065456346490002,8796159865049,26,4,4664,0.0,0.47515902
-51.604908,-68.43732,-28.424896,-24.98631,110.908104,87.44381,-112497.5184361965,-7433.398596463632,-236.97438143000002,8796120262610,26,4,4664,0.0,2.9709663
-55.120495,-65.65422,-26.82615,-19.498066,111.80665,90.84472,-112589.07764307938,-7442.96820703027,-226.25023905150002,8796165051060,26,4,4664,0.0,2.6665733
-24.438429,0.7886434,9.378892,258.2511,285.87427,66.726944,-111722.58302258898,-7189.98607587957,-485.72940927,8796182748647,26,4,4664,0.0,4.4169116
-33.185055,-5.6664066,8.370822,213.16658,255.82715,92.22489,-112204.25407923452,-7281.749527431821,-497.5242492699998,8796137194991,26,4,4664,0.0,4.0817823
-32.8504,-14.303846,4.537462,153.58182,285.60107,100.77859,-111869.27458897728,-7185.29868824828,-469.71506464000015,8796099663128,26,4,4664,0.0,4.250308
-30.0398,-4.883954,9.097111,206.78058,258.11728,141.25468,-112125.9684391814,-6743.88462693068,-512.2475201999999,8796166145646,26,4,4664,0.0,6.495249
-56.91648,-66.38359,-28.69575,-13.919463,107.438576,87.335434,-112386.76145245777,-7039.049486944649,-223.41569558999996,8796173955391,26,4,4664,0.0,2.7889159
-32.82592,-3.6256597,6.0573025,204.01646,227.3296,172.32898,-112278.819832534,-6722.609006073339,-511.2934033999999,8796100901754,26,4,4664,0.0,4.250308
-34.269962,-15.787232,4.952731,146.62387,272.94907,114.74753,-111952.87514562864,-7039.169204407501,-474.96223524000004,8796185059780,26,4,4664,0.0,4.0817823
-55.43587,-65.760345,-30.719406,-24.446331,111.61769,83.49113,-112272.41969551273,-7795.222913084495,-225.38231867700003,8796148266100,26,4,4664,0.0,2.294945
-32.44888,-8.464383,12.3113165,173.78569,280.10336,84.194115,-112089.21633365052,-7618.051676157531,-519.9979618,8796128942582,26,4,4664,0.0,6.9888654
-36.663506,-4.0195785,4.6141334,193.26622,223.67339,155.32463,-112362.71106409132,-7423.80193361707,-516.4528937,8796192236060,26,4,4664,0.0,4.250308
-34.802483,-13.842278,5.0926075,165.94864,256.78613,128.32008,-111983.52469528352,-6639.687715358871,-482.4826751700002,8796167710854,26,4,4664,0.0,4.0817823
-36.095104,-5.849094,3.750703,183.25107,246.92976,137.34145,-112001.26254104752,-7841.10263386446,-504.9155101299999,8796177747575,26,4,4664,0.0,6.3559184
-38.899864,-13.650544,1.9489987,156.55118,248.4031,120.33073,-111656.13168433236,-7525.838036336481,-482.57657044999996,8796121190568,26,4,4664,0.0,4.0817823
-37.980156,-14.119158,1.8159672,158.95172,244.1819,133.09148,-111647.1241864206,-7029.80220532464,-475.4661785999999,8796102003635,26,4,4664,0.0,4.250308
-52.579075,-69.33935,-31.469826,-34.70782,103.36958,86.4957,-111950.7095214906,-7841.6945782555,-218.7902622679999,8796192036941,26,4,4664,0.0,2.294945
-39.27943,-16.708353,5.8126364,154.88588,247.6073,104.00889,-111633.84998215176,-7137.985650083359,-476.84387047999996,8796125868534,26,4,4664,0.0,4.0817823
-42.111675,-21.186308,2.5279374,113.770805,245.57762,115.105515,-111521.63845068617,-7931.30160457556,-473.09679840000007,8796189861532,26,4,4664,0.0,4.250308
-37.833145,-17.200563,6.202958,138.44212,274.0722,69.97796,-111452.666855652,-7987.73087615544,-458.5979634,8796179260121,26,4,4664,0.0,4.250308
-43.37097,-22.28594,1.8858827,116.21164,245.00215,98.266136,-111439.4738697587,-8036.0952612439,-460.99523602,8796105474275,26,4,4664,0.0,4.250308
-40.320953,-22.62993,-2.749024,112.04958,228.90005,154.01532,-111257.74996855936,-6693.79400581825,-459.6260939000001,8796118331372,26,4,4664,0.0,3.9683719
-49.498943,-75.27254,-33.49731,-36.32438,95.85602,78.178894,-111592.377690156,-7479.00001671206,-197.18839456000003,8796098330754,26,4,4664,0.0,2.1695607
-38.6204,-18.198017,-0.54775643,137.23126,225.51424,166.50577,-111343.76869637094,-6212.113352084579,-464.78428560000003,8796105061271,26,4,4664,0.0,6.3559184
-43.417103,-20.16672,-0.7221487,117.39993,232.30563,132.519,-111309.6526726491,-7718.465948860289,-471.96482790000016,8796133510497,26,4,4664,0.0,4.250308
-64.55985,-64.2713,-26.33046,-18.44775,103.89343,83.16111,-112056.13275317026,-7893.005131360499,-274.71862216,8796136699463,26,4,4664,0.0,4.250308
-58.241325,-69.5069,-32.6383,-24.28674,94.5493,83.40975,-111705.39386730996,-7194.7725183285,-210.56871027,8796177021834,26,4,4664,0.0,2.6665733
-54.793747,-69.778854,-36.024174,-30.954037,89.824005,88.53557,-111616.70428196884,-7081.7310330303335,-213.92000463000002,8796124607728,26,4,4664,0.0,2.294945
-40.91001,-22.929571,-2.946612,99.933205,238.24936,144.02036,-111084.8164517444,-7455.358180788545,-462.2013220000001,8796190999139,26,4,4664,0.0,6.3559184
-42.323467,-27.930063,-2.1811101,86.45248,242.75848,114.73088,-111115.75713218242,-7859.75730434392,-435.8792498699998,8796189910526,26,4,4664,0.0,4.4169116
-43.009815,-16.689095,7.229616,141.45981,256.45227,50.20919,-111322.55630307744,-8669.1284812581,-468.5085634800001,8796157265647,26,4,4664,0.0,6.3559184
-44.032684,-16.270643,0.48924226,150.76288,230.92958,108.36931,-111168.96787262656,-7715.440224260881,-453.77317175,8796108616702,26,4,4664,0.0,6.6778803
-44.745327,-21.46074,3.9405618,139.88805,236.61298,78.616234,-111183.66945718716,-7585.224092387461,-432.87400959999997,8796184129408,26,4,4664,0.0,6.495249
-38.489346,-21.999939,-3.1739435,107.22145,233.87653,165.21437,-111021.46066027986,-6642.889324957829,-452.7327069,8796175025311,26,4,4664,0.0,4.250308
-42.93852,-13.499575,-0.67354614,161.1847,214.72935,141.30728,-111248.57567674454,-7044.2355430595,-459.1596117,8796144468292,26,4,4664,0.0,4.4169116
-65.669556,-65.914925,-28.191256,-16.333887,97.81184,79.59722,-111865.0753297786,-7499.907040906515,-216.77289156299997,8796099723947,26,4,4664,0.0,3.4476855
-23.11734,-28.16957,1.9287703,69.07011,323.28928,83.303635,-110764.24286872812,-5527.9129055625,-384.45689409999994,8796169358043,26,4,4664,0.0,6.8125005
-46.793713,-13.131152,1.7599003,165.47162,207.20482,117.386734,-111284.8001120782,-7523.049885390419,-463.46030800000005,8796133672948,26,4,4664,0.0,6.3559184
-58.326443,-75.226845,-28.005312,-29.194427,95.87313,68.434975,-111516.35728644708,-7788.143286969405,-205.17023664000004,8796189314058,26,4,4664,0.0,2.7889159
-50.70276,-17.327427,-2.0345645,127.035034,193.82797,142.17015,-111275.2833156377,-7626.422766119682,-474.89448910000004,8796129516203,26,4,4664,0.0,4.250308
-44.63651,-16.790922,-2.2822561,140.16447,223.97354,128.80176,-110874.25067519494,-7643.906475004062,-434.5072277699999,8796132732061,26,4,4664,0.0,6.6778803
-50.957947,-19.648634,-3.7004185,123.48654,185.64798,149.04507,-111145.20453472156,-7033.8980971106985,-481.3352520100001,8796139455245,26,4,4664,0.0,6.495249
-44.321007,-27.318935,-5.548184,90.07835,210.29633,155.83762,-110876.7403212721,-6859.700525447061,-446.8144782999999,8796181436645,26,4,4664,0.0,4.250308
-54.64025,-74.9912,-33.35035,-31.073881,89.72179,79.59757,-111222.53058444442,-7232.688660894701,-191.16955633999999,8796168506938,26,4,4664,0.0,2.6665733
-51.591682,-24.63053,-1.7398967,105.48314,213.9344,104.5977,-111078.18041354518,-8439.1298893966,-453.6372664499999,8796167164379,26,4,4664,0.0,4.250308
-50.121964,-20.69795,-4.037707,111.16336,199.62039,143.4611,-111019.78003827416,-7704.512334133959,-468.13850299999996,8796191600010,26,4,4664,0.0,4.250308
-51.06436,-78.9453,-32.61673,-46.76251,88.98672,67.41618,-111186.67499817457,-8235.7302860022,-197.79725492000003,8796141116213,26,4,4664,0.0,2.294945
-53.39371,-75.861244,-35.785698,-44.82739,84.97684,73.144615,-111170.47353295203,-7937.89032234956,-203.47860089000002,8796128367226,26,4,4664,0.0,2.1695607
-42.53416,-29.532824,-7.6247277,101.895996,218.74225,137.25359,-110589.9630481087,-6294.741344087297,-412.9400170399998,8796161498075,26,4,4664,0.0,6.8125005
-56.569202,-70.695076,-37.274822,-43.025223,84.500374,83.860954,-111083.56868693512,-7821.790135783494,-221.30573909,8796136726033,26,4,4664,0.0,4.250308
-46.394485,-33.778427,-8.297576,66.71351,213.40681,129.77792,-110626.71625478871,-7647.421617994081,-425.8424478999999,8796169059808,26,4,4664,0.0,4.250308
-55.085316,-76.76783,-38.3027,-39.808296,81.28633,69.04702,-110900.76057691354,-7533.679674447961,-173.77373627299997,8796193452870,26,4,4664,0.0,2.7889159
-51.690487,-77.90707,-40.092567,-44.677288,79.811264,68.60664,-110838.06551179888,-7606.159707871728,-185.88985066999996,8796100323719,26,4,4664,0.0,2.1695607
